1:adds 2:removes 3:delays 4:barriers 5:executions 6:time 7:bad_executions 8:bad_histories 9:covered 10:c_executions 11:c_histories
1 1 0 0 1 0.0 0 0 0 0 0
1 1 0 1 1 0.0 0 0 0 0 0
1 1 0 2 1 0.0 0 0 0 0 0
1 1 0 3 1 0.0 0 0 0 0 0
1 1 0 4 1 0.0 0 0 0 0 0
1 2 0 0 1 0.0 0 0 0 0 0
1 2 0 1 1 0.0 0 0 0 0 0
1 2 0 2 1 0.0 0 0 0 0 0
1 2 0 3 1 0.0 0 0 0 0 0
1 2 0 4 1 0.0 0 0 0 0 0
1 3 0 0 1 0.0 0 0 0 0 0
1 3 0 1 1 0.0 0 0 0 0 0
1 3 0 2 1 0.0 0 0 0 0 0
1 3 0 3 1 0.0 0 0 0 0 0
1 3 0 4 1 0.0 0 0 0 0 0
1 4 0 0 1 0.0 0 0 0 0 0
1 4 0 1 1 0.0 0 0 0 0 0
1 4 0 2 1 0.0 0 0 0 0 0
1 4 0 3 1 0.0 0 0 0 0 0
1 4 0 4 1 0.0 0 0 0 0 0
2 1 0 0 1 0.0 0 0 0 0 0
2 1 0 1 1 0.0 1 1 0 0 0
2 1 0 2 1 0.0 1 1 1 1 1
2 1 0 3 1 0.0 1 1 1 1 1
2 1 0 4 1 0.0 1 1 1 1 1
2 2 0 0 1 0.0 0 0 0 0 0
2 2 0 1 1 0.0 0 0 0 0 0
2 2 0 2 1 0.0 0 0 0 0 0
2 2 0 3 1 0.0 1 1 1 1 1
2 2 0 4 1 0.0 0 0 0 0 0
2 3 0 0 1 0.0 0 0 0 0 0
2 3 0 1 1 0.0 1 1 0 0 0
2 3 0 2 1 0.0 1 1 0 0 0
2 3 0 3 1 0.0 0 0 0 0 0
2 3 0 4 1 0.0 0 0 0 0 0
2 4 0 0 1 0.0 0 0 0 0 0
2 4 0 1 1 0.0 1 1 0 0 0
2 4 0 2 1 0.0 1 1 0 0 0
2 4 0 3 1 0.0 0 0 0 0 0
2 4 0 4 1 0.0 0 0 0 0 0
